model,variable,bin,Count,Count (%),Event rate,WoE,Coefficient,Points
model_b,term_months,"(-inf, 48.00)",621022,0.7488011768181297,0.13945399679882517,0.33407299005385616,-0.610508700284916,34.0
model_b,term_months,"[48.00, inf)",208333,0.25119882318187026,0.31901331042129666,-0.7274493771781222,-0.610508700284916,15.0
model_b,term_months,Special,0,0.0,0.0,0.0,-0.610508700284916,28.0
model_b,term_months,Missing,0,0.0,0.0,0.0,-0.610508700284916,28.0
model_b,annual_inc,"(-inf, 37103.50)",117758,0.14198744807712016,0.21797245197778495,-0.2082380305129199,-0.27025008555974733,26.0
model_b,annual_inc,"[37103.50, 45636.50)",97868,0.11800495565831279,0.20945559324804838,-0.1575492312531359,-0.27025008555974733,27.0
model_b,annual_inc,"[45636.50, 50397.64)",62534,0.07540076324372555,0.20272171938465475,-0.1163897305010202,-0.27025008555974733,27.0
model_b,annual_inc,"[50397.64, 60865.00)",116491,0.14045975486974818,0.1985904490475659,-0.09063185344522595,-0.27025008555974733,27.0
model_b,annual_inc,"[60865.00, 70720.04)",94683,0.11416462190497435,0.18724586250963743,-0.017753186533921106,-0.27025008555974733,28.0
model_b,annual_inc,"[70720.04, 75460.70)",43900,0.05293270071320484,0.17879271070615035,0.03878915709466901,-0.27025008555974733,28.0
model_b,annual_inc,"[75460.70, 85125.50)",70164,0.08460068366381103,0.17289493187389546,0.07948834411744121,-0.27025008555974733,29.0
model_b,annual_inc,"[85125.50, 100220.00)",80942,0.09759632485485709,0.1598675594870401,0.17345451707761406,-0.27025008555974733,29.0
model_b,annual_inc,"[100220.00, 127923.00)",71760,0.08652507068746194,0.14696209587513936,0.2728699700608499,-0.27025008555974733,30.0
model_b,annual_inc,"[127923.00, inf)",73251,0.08832285330166213,0.1350425250167233,0.3713313045362412,-0.27025008555974733,31.0
model_b,annual_inc,Special,0,0.0,0.0,0.0,-0.27025008555974733,28.0
model_b,annual_inc,Missing,4,4.823025121932104e-06,0.0,0.0,-0.27025008555974733,28.0
model_b,dti,"(-inf, 7.24)",80939,0.09759270758601564,0.12994971521763304,0.41564412861221944,-0.41532266160997783,33.0
