model,variable,bin,Count,Count (%),Event rate,WoE,Coefficient,Points
model_a,term_months,"(-inf, 48.00)",621022,0.7488011768181297,0.13945399679882517,0.33407299005385616,-0.9228223098695164,44.0
model_a,term_months,"[48.00, inf)",208333,0.25119882318187026,0.31901331042129666,-0.7274493771781222,-0.9228223098695164,16.0
model_a,term_months,Special,0,0.0,0.0,0.0,-0.9228223098695164,35.0
model_a,term_months,Missing,0,0.0,0.0,0.0,-0.9228223098695164,35.0
model_a,annual_inc,"(-inf, 37103.50)",117758,0.14198744807712016,0.21797245197778495,-0.2082380305129199,-0.28295892596305017,34.0
model_a,annual_inc,"[37103.50, 45636.50)",97868,0.11800495565831279,0.20945559324804838,-0.1575492312531359,-0.28295892596305017,34.0
model_a,annual_inc,"[45636.50, 50397.64)",62534,0.07540076324372555,0.20272171938465475,-0.1163897305010202,-0.28295892596305017,35.0
model_a,annual_inc,"[50397.64, 60865.00)",116491,0.14045975486974818,0.1985904490475659,-0.09063185344522595,-0.28295892596305017,35.0
model_a,annual_inc,"[60865.00, 70720.04)",94683,0.11416462190497435,0.18724586250963743,-0.017753186533921106,-0.28295892596305017,35.0
model_a,annual_inc,"[70720.04, 75460.70)",43900,0.05293270071320484,0.17879271070615035,0.03878915709466901,-0.28295892596305017,36.0
model_a,annual_inc,"[75460.70, 85125.50)",70164,0.08460068366381103,0.17289493187389546,0.07948834411744121,-0.28295892596305017,36.0
model_a,annual_inc,"[85125.50, 100220.00)",80942,0.09759632485485709,0.1598675594870401,0.17345451707761406,-0.28295892596305017,37.0
model_a,annual_inc,"[100220.00, 127923.00)",71760,0.08652507068746194,0.14696209587513936,0.2728699700608499,-0.28295892596305017,38.0
model_a,annual_inc,"[127923.00, inf)",73251,0.08832285330166213,0.1350425250167233,0.3713313045362412,-0.28295892596305017,38.0
model_a,annual_inc,Special,0,0.0,0.0,0.0,-0.28295892596305017,35.0
model_a,annual_inc,Missing,4,4.823025121932104e-06,0.0,0.0,-0.28295892596305017,35.0
model_a,dti,"(-inf, 7.24)",80939,0.09759270758601564,0.12994971521763304,0.41564412861221944,-0.4798866339805681,41.0
model_a,dti,"[7.24, 8.99)",42374,0.05109271662918774,0.13748997026478502,0.35053649624120475,-0.4798866339805681,40.0
model_a,dti,"[8.99, 12.36)",104256,0.12570732677803836,0.14647598219766728,0.2767529008729779,-0.4798866339805681,39.0
model_a,dti,"[12.36, 14.55)",78600,0.09477244364596583,0.15732824427480915,0.19248384476996616,-0.4798866339805681,38.0
model_a,dti,"[14.55, 17.13)",95749,0.11544995809996925,0.16985033786253642,0.10092900621958178,-0.4798866339805681,37.0
model_a,dti,"[17.13, 19.27)",77283,0.0931844626245697,0.18209696828539265,0.01644513811185,-0.4798866339805681,36.0
model_a,dti,"[19.27, 21.04)",60740,0.073237636476539,0.19063220283174184,-0.03985179675586559,-0.4798866339805681,35.0
model_a,dti,"[21.04, 25.05)",117578,0.14177041194663323,0.2063566313425981,-0.1387309999396764,-0.4798866339805681,34.0
model_a,dti,"[25.05, 30.12)",101648,0.12256271439853862,0.23028490476940028,-0.2790561289091329,-0.4798866339805681,32.0
model_a,dti,"[30.12, inf)",70186,0.08462721030198166,0.27779044253839796,-0.5303109934055389,-0.4798866339805681,28.0
model_a,dti,Special,0,0.0,0.0,0.0,-0.4798866339805681,35.0
model_a,dti,Missing,2,2.411512560966052e-06,0.5,-1.4857593103579265,-0.4798866339805681,35.0
model_a,fico_range_low,"(-inf, 662.50)",74939,0.09035816990311749,0.24792164293625482,-0.3760315339514806,-0.6934126737895069,28.0
model_a,fico_range_low,"[662.50, 672.50)",146992,0.17723652718076097,0.23191058016762817,-0.28820501897154926,-0.6934126737895069,30.0
model_a,fico_range_low,"[672.50, 682.50)",131371,0.1584014083233356,0.21587717228307618,-0.19590323337801197,-0.6934126737895069,32.0
model_a,fico_range_low,"[682.50, 687.50)",57616,0.06947085385631002,0.19869480699805608,-0.09128743520341098,-0.6934126737895069,34.0
model_a,fico_range_low,"[687.50, 697.50)",106374,0.1282611185801014,0.18638013048301277,-0.012054344643449122,-0.6934126737895069,35.0
model_a,fico_range_low,"[697.50, 707.50)",86236,0.10397959860373422,0.16616030428127465,0.12732885133657068,-0.6934126737895069,38.0
model_a,fico_range_low,"[707.50, 717.50)",66109,0.07971134194645237,0.14601642741532922,0.28043351547412465,-0.6934126737895069,41.0
model_a,fico_range_low,"[717.50, 727.50)",47248,0.05696957274026201,0.13098967152048763,0.40647722357603855,-0.6934126737895069,44.0
model_a,fico_range_low,"[727.50, 752.50)",63678,0.07678014842859812,0.11038349194384246,0.6010705765158557,-0.6934126737895069,47.0
model_a,fico_range_low,"[752.50, inf)",48792,0.0588312604373278,0.07302426627315954,1.055376277044169,-0.6934126737895069,57.0
model_a,fico_range_low,Special,0,0.0,0.0,0.0,-0.6934126737895069,35.0
model_a,fico_range_low,Missing,0,0.0,0.0,0.0,-0.6934126737895069,35.0
model_a,inq_last_6mths,"(-inf, 0.50)",460154,0.5548335754893863,0.1640211755195,0.14284843432679972,-0.5414980669718872,38.0
model_a,inq_last_6mths,"[0.50, 1.50)",227219,0.2739707362950727,0.19728543827760883,-0.08241172978325428,-0.5414980669718872,34.0
model_a,inq_last_6mths,"[1.50, 2.50)",89821,0.10830223486926588,0.2215517529308291,-0.2291130087838702,-0.5414980669718872,32.0
model_a,inq_last_6mths,"[2.50, inf)",52132,0.06285848641414112,0.2466815008056472,-0.36936923241164865,-0.5414980669718872,30.0
model_a,inq_last_6mths,Special,0,0.0,0.0,0.0,-0.5414980669718872,35.0
model_a,inq_last_6mths,Missing,29,3.4966932134007754e-05,0.10344827586206896,0.6737249389954456,-0.5414980669718872,35.0
model_a,mths_since_recent_inq,"(-inf, 1.50)",143459,0.17297659024181442,0.22720080301688983,-0.26157428780676373,-0.39816912474070165,32.0
model_a,mths_since_recent_inq,"[1.50, 2.50)",62999,0.07596143991415015,0.2104319116176447,-0.1634353785204905,-0.39816912474070165,34.0
model_a,mths_since_recent_inq,"[2.50, 3.50)",56971,0.06869314105539848,0.20622772989766724,-0.13794374685397437,-0.39816912474070165,34.0
model_a,mths_since_recent_inq,"[3.50, 4.50)",51322,0.06188182382694986,0.1986867230427497,-0.09123666065447922,-0.39816912474070165,34.0
model_a,mths_since_recent_inq,"[4.50, 6.50)",86458,0.10424727649800146,0.1888315713988295,-0.02813905877920897,-0.39816912474070165,35.0
model_a,mths_since_recent_inq,"[6.50, 8.50)",73309,0.08839278716593015,0.18282884775402747,0.011538794195652402,-0.39816912474070165,36.0
model_a,mths_since_recent_inq,"[8.50, 10.50)",56457,0.0680733823272302,0.17631117487645465,0.05578303584697797,-0.39816912474070165,36.0
model_a,mths_since_recent_inq,"[10.50, 12.50)",44893,0.05413001669972448,0.17131846835809592,0.0905523988419159,-0.39816912474070165,36.0
model_a,mths_since_recent_inq,"[12.50, 16.50)",62400,0.07523919190214082,0.16655448717948718,0.12448651194199378,-0.39816912474070165,37.0
model_a,mths_since_recent_inq,"[16.50, inf)",61748,0.07445303880726589,0.15239359979270584,0.23019042072392182,-0.39816912474070165,38.0
model_a,mths_since_recent_inq,Special,0,0.0,0.0,0.0,-0.39816912474070165,35.0
model_a,mths_since_recent_inq,Missing,129339,0.1559513115613941,0.13987273753469565,0.3305880559596115,-0.39816912474070165,35.0
model_a,mort_acc,"(-inf, 0.50)",312423,0.3767059944173484,0.21242994273789062,-0.17541923478651889,-0.4719045395646497,33.0
model_a,mort_acc,"[0.50, 1.50)",130240,0.1570376979701093,0.18941185503685504,-0.03192299267006504,-0.4719045395646497,35.0
model_a,mort_acc,"[1.50, 2.50)",108683,0.1310452098317367,0.1753264079938905,0.06257892647917984,-0.4719045395646497,36.0
model_a,mort_acc,"[2.50, 3.50)",83039,0.10012479577502999,0.16303182841797229,0.15008128451209912,-0.4719045395646497,37.0
model_a,mort_acc,"[3.50, 5.50)",97810,0.11793502179404478,0.15480012268684185,0.21167907652082185,-0.4719045395646497,38.0
model_a,mort_acc,"[5.50, inf)",47130,0.056827293499165016,0.14103543390621684,0.32095719748771545,-0.4719045395646497,40.0
model_a,mort_acc,Special,0,0.0,0.0,0.0,-0.4719045395646497,35.0
