portfolio,reference_cutoff,loans_total,volume_total_usd,el_rate_no_cutoff_pct,el_rate_at_cutoff_pct,el_rate_reduction_pct,el_absolute_no_cutoff_usd,el_absolute_at_cutoff_usd,el_absolute_reduction_pct,approval_rate_pct,volume_lost_pct,approved_bad_rate_pct,bad_rate_no_cutoff_pct,rejected_good_share_pct,rejected_bad_share_pct,rejected_bad_rate_pct,lgd_empirisch_el_rate_no_cutoff_pct,lgd_empirisch_el_rate_at_cutoff_pct,lgd_empirisch_el_saved_usd,lgd_30_el_rate_no_cutoff_pct,lgd_30_el_rate_at_cutoff_pct,lgd_30_el_saved_usd,lgd_60_el_rate_no_cutoff_pct,lgd_60_el_rate_at_cutoff_pct,lgd_60_el_saved_usd
test (2016-2018),515,518744,7499941000.0,11.831,8.798,25.639,887345899.684,526953070.584,40.615,84.509,20.14,18.696,22.419,11.435,29.524,42.728,11.831,8.798,360392829.0,5.706,4.243,173822587.0,11.413,8.487,347645175.0
gesamt (2007-2018),510,1348099,19412877700.0,12.122,9.442,22.11,2353161941.04,1532201075.365,34.888,87.405,16.404,16.733,19.981,9.048,26.802,42.517,12.122,9.442,820960866.0,5.847,4.554,395961102.0,11.693,9.108,791922204.0
